iter	Logloss
0	0.6120951494
1	0.5479402988
2	0.5000550502
3	0.4630031178
4	0.4335079849
5	0.4105549782
6	0.3929095324
7	0.3786680163
8	0.3673200578
9	0.3587609071
10	0.3519582184
11	0.346215838
12	0.3419331629
13	0.3382022761
14	0.3352559578
15	0.3327414492
16	0.3307197687
17	0.329112714
18	0.3278493373
19	0.3266220777
20	0.3256939157
21	0.324852522
22	0.3240526218
23	0.3234116213
24	0.3228663154
25	0.3223070156
26	0.3218324776
27	0.3214550235
28	0.3210460055
29	0.3206938642
30	0.3203514725
31	0.3201065505
32	0.3198735389
33	0.3195739525
34	0.319299113
35	0.319039348
36	0.3188786734
37	0.3186388191
38	0.3184698356
39	0.3182376729
40	0.3180175235
41	0.3177999979
42	0.3176522113
43	0.3174143892
44	0.3172042723
45	0.3170642287
46	0.3169020621
47	0.3167627644
48	0.3166163926
49	0.3164623806
50	0.3162710426
51	0.3160996666
52	0.3159519057
53	0.3158575486
54	0.3157492488
55	0.3155856417
56	0.3153724378
57	0.3152441245
58	0.3151002223
59	0.3149434063
60	0.3148076329
61	0.3147033462
62	0.3146144942
63	0.3145075836
64	0.3144169565
65	0.3142805657
66	0.3141454869
67	0.3140212895
68	0.3138900436
69	0.3137753643
70	0.3136898049
71	0.313546983
72	0.3134260012
73	0.3132597187
74	0.3131451679
75	0.3130498848
76	0.3129259189
77	0.3128635115
78	0.3127247798
79	0.3126347444
80	0.3125278338
81	0.3124083697
82	0.3123225016
83	0.3122591167
84	0.3122004908
85	0.3120693736
86	0.3120045223
87	0.3119039142
88	0.3118291591
89	0.3117394581
90	0.3116490883
91	0.3115511813
92	0.31142081
93	0.3113405242
94	0.3112590035
95	0.3110983547
96	0.3109847043
97	0.3108945917
98	0.310792826
99	0.3106941986
100	0.3106262348
101	0.3105434537
102	0.3104665634
103	0.3104102013
104	0.3103458903
105	0.3102886792
106	0.3102244711
107	0.3101481725
108	0.3100805174
109	0.3099735039
110	0.3099094244
111	0.3098447275
112	0.3097083882
113	0.309602378
114	0.3094951844
115	0.3094615883
116	0.3093223164
117	0.3092293999
118	0.3091628252
119	0.3090810473
120	0.3090161961
121	0.3089800276
122	0.3089234853
123	0.3088646279
124	0.3087778852
125	0.3087111819
126	0.3086068694
127	0.3085157022
128	0.3084208306
129	0.3082977651
130	0.3082044369
131	0.3081134755
132	0.3080050214
133	0.3079292373
134	0.3078383273
135	0.307707956
136	0.3076353103
137	0.3075299432
138	0.3074453357
139	0.307333666
140	0.3072801078
141	0.3072423444
142	0.3071688755
143	0.3071292085
144	0.3070404851
145	0.3069430153
146	0.306899078
147	0.3068286189
148	0.3067526548
149	0.306662748
150	0.3065721466
151	0.3065033596
152	0.3064522452
153	0.3063783905
154	0.3063091147
155	0.3062496913
156	0.3061897535
157	0.3061297642
158	0.3060557551
159	0.3059885372
160	0.3059251523
161	0.3058444806
162	0.3057698798
163	0.3057127202
164	0.3056168454
165	0.3055469779
166	0.3055005968
167	0.3054097897
168	0.3053590097
169	0.3052869299
170	0.3052342464
171	0.3051919297
172	0.3051445711
173	0.3050897267
174	0.3050300204
175	0.3049752789
176	0.304888176
177	0.3048349008
178	0.3047899346
179	0.3047297395
180	0.3046556532
181	0.3046175811
182	0.3045359833
183	0.3044790037
184	0.3043533915
185	0.3042884888
186	0.3042322039
187	0.304194672
188	0.3041454355
189	0.3040875041
190	0.3040227815
191	0.3039442707
192	0.3038488846
193	0.303775673
194	0.3037297806
195	0.3036677591
196	0.3036224584
197	0.3035898399
198	0.3035238311
199	0.3034504651
200	0.3033921222
201	0.3033505515
202	0.30324858
203	0.3032143923
204	0.303130042
205	0.3030674031
206	0.3030090859
207	0.3029789111
208	0.3029306779
209	0.3028414914
210	0.3027980429
211	0.302731854
212	0.302688174
213	0.3026319662
214	0.3025709736
215	0.3025199107
216	0.3024501461
217	0.3024089356
218	0.3023511586
219	0.3022662681
220	0.3022175461
221	0.3021318581
222	0.3020874835
223	0.3020496172
224	0.3019760712
225	0.3019444302
226	0.3019145641
227	0.3018427931
228	0.3017843987
229	0.301713425
230	0.3016703881
231	0.3016224378
232	0.3015661529
233	0.3015325054
234	0.3014749341
235	0.3014351128
236	0.301351457
237	0.3012939373
238	0.301262785
239	0.3011960817
240	0.3011391278
241	0.3010595365
242	0.3009975922
243	0.3009463492
244	0.3008970612
245	0.3008519921
246	0.3008056882
247	0.3007755392
248	0.3006945073
249	0.3006625576
250	0.3006112117
251	0.3005418587
252	0.3004626276
253	0.3003990883
254	0.3003546366
255	0.3003175934
256	0.300276563
257	0.3002224389
258	0.3001845983
259	0.3001411755
260	0.3001017914
261	0.3000423938
262	0.3000007717
263	0.2999333224
264	0.2999141834
265	0.2998740019
266	0.29981108
267	0.2997606345
268	0.2997130701
269	0.2996739947
270	0.2996318581
271	0.2996025323
272	0.2995343884
273	0.299506606
274	0.2994630289
275	0.2993861129
276	0.2993467032
277	0.2992830095
278	0.2992430596
279	0.2992181841
280	0.2991670182
281	0.299132316
282	0.2990971508
283	0.2990651239
284	0.2990285952
285	0.2989983948
286	0.298960014
287	0.2989100315
288	0.2988721652
289	0.2988229544
290	0.2987561996
291	0.2986714891
292	0.2986460734
293	0.2985964768
294	0.2985511247
295	0.2985079849
296	0.2984740286
297	0.2984328182
298	0.2983872345
299	0.2983548218
300	0.2983162095
301	0.2982742015
302	0.2982437953
303	0.2981955363
304	0.298160191
305	0.2981335405
306	0.2980878282
307	0.2980564445
308	0.2980144365
309	0.2979642225
310	0.2979399901
311	0.2978856087
312	0.2978470993
313	0.2977839974
314	0.2977529995
315	0.2977295903
316	0.297675389
317	0.2976391947
318	0.2975844789
319	0.297553764
320	0.297533133
321	0.2974940834
322	0.2974719604
323	0.2974412969
324	0.297412074
325	0.2973576412
326	0.2973317624
327	0.2973023852
328	0.297263567
329	0.2972058929
330	0.2971673321
331	0.2971202821
332	0.2970918567
333	0.2970316101
334	0.2969982199
335	0.2969592731
336	0.2969215612
337	0.2968867818
338	0.2968490698
339	0.2968243229
340	0.2967721796
341	0.2967306347
342	0.2966897329
343	0.2966626194
344	0.2966200969
345	0.2965960961
346	0.2965480943
347	0.2965019962
348	0.2964660078
349	0.2964366048
350	0.2964149963
351	0.2963786477
352	0.296347444
353	0.2963306203
354	0.2962846765
355	0.2962578202
356	0.2962160952
357	0.2961900364
358	0.2961726725
359	0.2960973257
360	0.2960663792
361	0.2960219789
362	0.2959755978
363	0.2959433909
364	0.2959211136
365	0.2958800317
366	0.2958539472
367	0.2958015208
368	0.2957545995
369	0.295720669
370	0.295649078
371	0.2956197522
372	0.2955755063
373	0.2955147967
374	0.2954878118
375	0.2954579972
376	0.2954211599
377	0.2953666756
378	0.2953395106
379	0.2952767174
380	0.2952353783
381	0.2951922127
382	0.2951593627
383	0.2951087885
384	0.2950558219
385	0.2950099553
386	0.2949823531
387	0.2949349173
388	0.2948882018
389	0.294841229
390	0.2948007388
391	0.2947485183
392	0.2947182149
393	0.2946909471
394	0.2946426624
395	0.2946073428
396	0.2945752902
397	0.2945380927
398	0.2944959047
399	0.2944535109
400	0.2944082359
401	0.2943508191
402	0.2943253005
403	0.2942780705
404	0.2942331557
405	0.2942051675
406	0.2941843308
407	0.2941581176
408	0.2941344769
409	0.2941010609
410	0.2940425893
411	0.2940143439
412	0.2939944332
413	0.2939674741
414	0.2939292476
415	0.2938958059
416	0.2938641134
417	0.2938153657
418	0.2937880207
419	0.2937634796
420	0.293734977
421	0.293704545
422	0.2936800296
423	0.2936373786
424	0.29360831
425	0.2935742509
426	0.2935354071
427	0.2934923187
428	0.2934588255
429	0.2934300142
430	0.2933917363
431	0.2933693818
432	0.2933366346
433	0.2932783689
434	0.2932361294
435	0.2931948675
436	0.2931434701
437	0.2931055781
438	0.2930682005
439	0.2930451515
440	0.293005433
441	0.292959232
442	0.2929373662
443	0.2929116418
444	0.2928727465
445	0.2928592155
446	0.2928056059
