iter	Passed	Remaining
0	8	410040
1	16	401584
2	23	398710
3	31	397407
4	39	394552
5	47	395052
6	54	391857
7	63	395774
8	71	396375
9	79	395464
10	86	394093
11	94	394212
12	102	393595
13	110	394959
14	118	395158
15	126	395599
16	134	396786
17	142	397006
18	150	396819
19	158	397017
20	166	396626
21	174	396438
22	182	396389
23	190	396393
24	198	396484
25	206	396592
26	214	396794
27	222	396837
28	230	397108
29	238	397335
30	246	397492
31	254	397169
32	262	397108
33	270	397396
34	278	397839
35	286	398125
36	295	398586
37	303	398773
38	311	398626
39	319	399081
40	327	399042
41	335	399131
42	343	398825
43	351	398900
44	359	398856
45	367	398735
46	375	399006
47	383	398822
48	390	398511
49	399	398803
50	407	398634
51	414	398407
52	422	398624
53	431	398700
54	439	398854
55	447	399071
56	455	399183
57	463	399018
58	472	399650
59	479	399492
60	487	399336
61	495	399142
62	503	399074
63	511	399310
64	519	399162
65	527	399033
66	535	399283
67	543	399111
68	551	399089
69	559	399221
70	567	399040
71	575	398973
72	583	398814
73	591	398793
74	598	398674
75	606	398604
76	614	398518
77	622	398290
78	630	398498
79	639	398777
80	647	398842
81	655	398735
82	663	398857
83	670	398660
84	679	398919
85	687	399154
86	695	399094
87	703	399037
88	711	398899
89	718	398681
90	726	398641
91	734	398550
92	742	398510
93	750	398435
94	758	398577
95	766	398649
96	775	398765
97	783	398863
98	791	398805
99	799	398735
100	806	398590
101	814	398647
102	822	398603
103	830	398618
104	838	398658
105	846	398622
106	854	398606
107	862	398618
108	870	398506
109	878	398377
110	886	398301
111	894	398288
112	902	398388
113	910	398326
114	918	398220
115	925	398093
116	933	398048
117	941	398067
118	949	398154
119	957	398054
120	965	397912
121	972	397754
122	980	397564
123	988	397422
124	995	397346
125	1003	397327
126	1011	397183
127	1019	397213
128	1027	397131
129	1035	397092
130	1043	397106
131	1051	397112
132	1059	397186
133	1067	397211
134	1075	397132
135	1083	397247
136	1091	397271
137	1099	397295
138	1107	397228
139	1115	397401
140	1123	397289
141	1131	397160
142	1138	397087
143	1146	396913
144	1154	396931
145	1162	397038
146	1170	396987
147	1178	396974
148	1186	396940
149	1194	396995
150	1202	396906
151	1210	396871
152	1217	396766
153	1225	396682
154	1233	396543
155	1241	396572
156	1248	396517
157	1256	396474
158	1264	396393
159	1272	396289
160	1279	396188
161	1287	396102
162	1295	396053
163	1303	395960
164	1310	395932
165	1318	395898
166	1326	395779
167	1334	395876
168	1342	395966
169	1351	396022
170	1358	395973
171	1366	395947
172	1374	395945
173	1383	396146
174	1391	396076
175	1398	396029
176	1407	396051
177	1414	396024
178	1422	396020
179	1430	395926
180	1438	395968
181	1446	395942
182	1454	395940
183	1462	395973
184	1470	396046
185	1478	395885
186	1485	395769
187	1493	395614
188	1500	395456
189	1507	395321
190	1515	395178
191	1523	395190
192	1530	395045
193	1538	394930
194	1545	394789
195	1553	394728
196	1560	394597
197	1568	394443
198	1575	394370
199	1583	394233
200	1590	394166
201	1598	394058
202	1606	394019
203	1614	393995
204	1621	393971
205	1629	393896
206	1637	393776
207	1644	393664
208	1652	393622
209	1660	393585
210	1667	393498
211	1675	393402
212	1682	393222
213	1689	393153
214	1697	393090
215	1705	392979
216	1712	392916
217	1720	392866
218	1728	392870
219	1736	392912
220	1743	392806
221	1751	392755
222	1758	392609
223	1766	392539
224	1774	392611
225	1782	392592
226	1789	392464
227	1797	392443
228	1805	392307
229	1812	392269
230	1820	392249
231	1828	392339
232	1836	392314
233	1844	392182
234	1851	392064
235	1859	392008
236	1867	392015
237	1874	391977
238	1882	391900
239	1890	391885
240	1898	391937
241	1906	391945
242	1913	391893
243	1921	391772
244	1928	391712
245	1936	391616
246	1943	391523
247	1951	391444
248	1959	391468
249	1966	391359
250	1974	391270
251	1981	391166
252	1989	391113
253	1996	391045
254	2003	390911
255	2011	390769
256	2018	390722
257	2026	390626
258	2033	390498
259	2041	390473
